symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRK-B,2021-12-10 00:00:00+00:00,288.23,288.5,284.23,285.49,4110315,288.23,288.5,284.23,285.49,4110315,0.0,1.0
BRK-B,2021-12-13 00:00:00+00:00,290.01,291.58,285.84,288.5,4888424,290.01,291.58,285.84,288.5,4888424,0.0,1.0
BRK-B,2021-12-14 00:00:00+00:00,295.03,296.41,289.67,289.67,5994765,295.03,296.41,289.67,289.67,5994765,0.0,1.0
BRK-B,2021-12-15 00:00:00+00:00,294.58,296.5,292.8133,295.8199,5603061,294.58,296.5,292.8133,295.8199,5603061,0.0,1.0
BRK-B,2021-12-16 00:00:00+00:00,300.17,301.58,295.1,296.88,6542554,300.17,301.58,295.1,296.88,6542554,0.0,1.0
BRK-B,2021-12-17 00:00:00+00:00,293.66,298.0,292.3501,297.85,12772057,293.66,298.0,292.3501,297.85,12772057,0.0,1.0
BRK-B,2021-12-20 00:00:00+00:00,289.61,291.58,287.59,290.775,5458419,289.61,291.58,287.59,290.775,5458419,0.0,1.0
BRK-B,2021-12-21 00:00:00+00:00,293.24,295.41,291.5,292.14,3931134,293.24,295.41,291.5,292.14,3931134,0.0,1.0
BRK-B,2021-12-22 00:00:00+00:00,294.41,294.57,291.74,292.86,2446396,294.41,294.57,291.74,292.86,2446396,0.0,1.0
BRK-B,2021-12-23 00:00:00+00:00,294.49,296.78,294.21,295.22,2899917,294.49,296.78,294.21,295.22,2899917,0.0,1.0
BRK-B,2021-12-27 00:00:00+00:00,296.67,296.69,294.46,295.25,2807616,296.67,296.69,294.46,295.25,2807616,0.0,1.0
BRK-B,2021-12-28 00:00:00+00:00,298.29,299.79,296.8,296.96,2575075,298.29,299.79,296.8,296.96,2575075,0.0,1.0
BRK-B,2021-12-29 00:00:00+00:00,299.46,300.65,298.86,299.23,2688431,299.46,300.65,298.86,299.23,2688431,0.0,1.0
BRK-B,2021-12-30 00:00:00+00:00,299.98,301.6463,299.74,300.88,2301253,299.98,301.6463,299.74,300.88,2301253,0.0,1.0
BRK-B,2021-12-31 00:00:00+00:00,299.0,300.69,298.84,299.94,2919756,299.0,300.69,298.84,299.94,2919756,0.0,1.0
BRK-B,2022-01-03 00:00:00+00:00,300.79,301.3,299.2,300.1,3571121,300.79,301.3,299.2,300.1,3571121,0.0,1.0
BRK-B,2022-01-04 00:00:00+00:00,308.53,309.21,301.65,301.65,6006382,308.53,309.21,301.65,301.65,6006382,0.0,1.0
BRK-B,2022-01-05 00:00:00+00:00,309.92,314.48,309.5,309.87,6892257,309.92,314.48,309.5,309.87,6892257,0.0,1.0
BRK-B,2022-01-06 00:00:00+00:00,313.22,314.11,310.22,312.98,5140613,313.22,314.11,310.22,312.98,5140613,0.0,1.0
BRK-B,2022-01-07 00:00:00+00:00,319.78,320.2,314.14,315.56,5622909,319.78,320.2,314.14,315.56,5622909,0.0,1.0
BRK-B,2022-01-10 00:00:00+00:00,318.93,322.1,315.12,321.4,5814171,318.93,322.1,315.12,321.4,5814171,0.0,1.0
BRK-B,2022-01-11 00:00:00+00:00,319.8,320.0,315.04,318.61,4070086,319.8,320.0,315.04,318.61,4070086,0.0,1.0
BRK-B,2022-01-12 00:00:00+00:00,320.39,321.05,317.26,320.62,3583291,320.39,321.05,317.26,320.62,3583291,0.0,1.0
BRK-B,2022-01-13 00:00:00+00:00,321.26,323.47,320.1,321.0,4279387,321.26,323.47,320.1,321.0,4279387,0.0,1.0
BRK-B,2022-01-14 00:00:00+00:00,324.13,324.405,316.5,318.87,4915639,324.13,324.405,316.5,318.87,4915639,0.0,1.0
BRK-B,2022-01-18 00:00:00+00:00,320.29,323.29,318.07,322.22,5257535,320.29,323.29,318.07,322.22,5257535,0.0,1.0
BRK-B,2022-01-19 00:00:00+00:00,314.75,321.35,314.58,321.35,5397670,314.75,321.35,314.58,321.35,5397670,0.0,1.0
BRK-B,2022-01-20 00:00:00+00:00,311.01,317.18,310.68,315.58,4409303,311.01,317.18,310.68,315.58,4409303,0.0,1.0
BRK-B,2022-01-21 00:00:00+00:00,305.22,311.02,304.14,309.99,6541385,305.22,311.02,304.14,309.99,6541385,0.0,1.0
BRK-B,2022-01-24 00:00:00+00:00,303.73,304.73,296.085,299.7,8529685,303.73,304.73,296.085,299.7,8529685,0.0,1.0
BRK-B,2022-01-25 00:00:00+00:00,307.19,309.13,294.81,301.87,6438259,307.19,309.13,294.81,301.87,6438259,0.0,1.0
BRK-B,2022-01-26 00:00:00+00:00,309.26,313.33,306.57,310.4,6127231,309.26,313.33,306.57,310.4,6127231,0.0,1.0
BRK-B,2022-01-27 00:00:00+00:00,307.67,315.92,305.3111,311.7,5055361,307.67,315.92,305.3111,311.7,5055361,0.0,1.0
BRK-B,2022-01-28 00:00:00+00:00,312.9,313.29,304.0681,307.68,5241647,312.9,313.29,304.0681,307.68,5241647,0.0,1.0
BRK-B,2022-01-31 00:00:00+00:00,313.02,313.3,307.84,312.0,5238867,313.02,313.3,307.84,312.0,5238867,0.0,1.0
BRK-B,2022-02-01 00:00:00+00:00,313.96,314.6,310.31,312.64,4348803,313.96,314.6,310.31,312.64,4348803,0.0,1.0
BRK-B,2022-02-02 00:00:00+00:00,319.6,320.1604,313.0,313.57,4634781,319.6,320.1604,313.0,313.57,4634781,0.0,1.0
BRK-B,2022-02-03 00:00:00+00:00,315.23,319.65,314.61,319.33,4152449,315.23,319.65,314.61,319.33,4152449,0.0,1.0
BRK-B,2022-02-04 00:00:00+00:00,314.99,317.8387,312.7,315.87,3656465,314.99,317.8387,312.7,315.87,3656465,0.0,1.0
BRK-B,2022-02-07 00:00:00+00:00,316.51,318.22,312.06,314.91,3129336,316.51,318.22,312.06,314.91,3129336,0.0,1.0
BRK-B,2022-02-08 00:00:00+00:00,321.44,322.65,316.0,318.27,6238744,321.44,322.65,316.0,318.27,6238744,0.0,1.0
BRK-B,2022-02-09 00:00:00+00:00,322.38,325.63,321.54,323.8,3997452,322.38,325.63,321.54,323.8,3997452,0.0,1.0
BRK-B,2022-02-10 00:00:00+00:00,319.85,322.46,318.485,320.99,7081291,319.85,322.46,318.485,320.99,7081291,0.0,1.0
BRK-B,2022-02-11 00:00:00+00:00,319.14,323.12,317.74,320.01,7497359,319.14,323.12,317.74,320.01,7497359,0.0,1.0
BRK-B,2022-02-14 00:00:00+00:00,314.28,320.43,312.17,319.61,8131182,314.28,320.43,312.17,319.61,8131182,0.0,1.0
BRK-B,2022-02-15 00:00:00+00:00,316.2,317.9399,314.6901,316.64,3682373,316.2,317.9399,314.6901,316.64,3682373,0.0,1.0
BRK-B,2022-02-16 00:00:00+00:00,315.65,316.9,314.28,315.0,3975085,315.65,316.9,314.28,315.0,3975085,0.0,1.0
BRK-B,2022-02-17 00:00:00+00:00,313.55,315.44,312.3,314.98,3633337,313.55,315.44,312.3,314.98,3633337,0.0,1.0
BRK-B,2022-02-18 00:00:00+00:00,314.8,315.6767,313.08,313.83,4225597,314.8,315.6767,313.08,313.83,4225597,0.0,1.0
BRK-B,2022-02-22 00:00:00+00:00,314.16,315.43,310.55,313.44,4760941,314.16,315.43,310.55,313.44,4760941,0.0,1.0
BRK-B,2022-02-23 00:00:00+00:00,309.99,316.8,309.38,316.081,5033311,309.99,316.8,309.38,316.081,5033311,0.0,1.0
BRK-B,2022-02-24 00:00:00+00:00,308.28,308.81,299.51,301.78,8836304,308.28,308.81,299.51,301.78,8836304,0.0,1.0
